Temp,Year,Month,Date
0.8,1961,01,02
3.2,1961,01,31
4.8,1961,03,02
-0.8,1961,04,01
9.2,1961,04,30
19.8,1961,05,30
17.1,1961,06,28
14.6,1961,07,27
17.2,1961,08,26
11.9,1961,09,24
10.4,1961,10,23
-2.2,1961,11,22
-7.8,1961,12,22
4.4,1962,01,20
4.2,1962,02,19
0.9,1962,03,21
11.6,1962,04,20
9.6,1962,05,19
16.7,1962,06,18
14.8,1962,07,17
12.8,1962,08,15
12.0,1962,09,14
7.4,1962,10,13
2.2,1962,11,11
3.7,1962,12,11
-10.5,1963,01,10
-3.9,1963,02,08
-1.0,1963,03,10
6.1,1963,04,09
12.1,1963,05,08
20.5,1963,06,07
19.8,1963,07,06
22.6,1963,08,05
16.9,1963,09,03
9.5,1963,10,03
7.6,1963,11,01
3.6,1963,12,01
3.6,1963,12,30
1.0,1964,01,29
0.0,1964,02,27
3.8,1964,03,28
9.1,1964,04,26
17.3,1964,05,26
16.3,1964,06,25
14.2,1964,07,24
17.1,1964,08,23
8.0,1964,09,21
8.7,1964,10,21
5.8,1964,11,19
-2.8,1964,12,19
3.1,1965,01,17
-3.0,1965,02,16
3.8,1965,03,17
6.2,1965,04,16
5.5,1965,05,15
19.2,1965,06,14
14.4,1965,07,13
17.0,1965,08,12
13.0,1965,09,11
9.9,1965,10,10
7.9,1965,11,09
1.4,1965,12,08
-0.2,1966,01,07
0.7,1966,02,05
6.7,1966,03,07
4.0,1966,04,05
13.5,1966,05,04
14.2,1966,06,03
18.9,1966,07,02
13.9,1966,08,01
15.7,1966,08,31
9.2,1966,09,29
2.8,1966,10,29
5.5,1966,11,28
-4.7,1966,12,27
2.2,1967,01,26
2.6,1967,02,24
8.5,1967,03,26
7.7,1967,04,24
13.7,1967,05,23
16.9,1967,06,22
19.2,1967,07,21
15.8,1967,08,20
15.8,1967,09,18
3.3,1967,10,18
6.3,1967,11,17
0.0,1967,12,17
3.3,1968,01,15
-1.8,1968,02,14
0.1,1968,03,14
11.0,1968,04,13
9.2,1968,05,12
15.4,1968,06,10
16.1,1968,07,10
21.3,1968,08,08
19.6,1968,09,06
5.8,1968,10,06
2.0,1968,11,05
1.1,1968,12,05
-0.9,1969,01,03
1.4,1969,02,02
-2.7,1969,03,04
2.1,1969,04,02
4.3,1969,05,02
13.1,1969,05,31
14.6,1969,06,29
23.6,1969,07,29
13.2,1969,08,27
15.4,1969,09,25
9.4,1969,10,25
-1.7,1969,11,24
-4.3,1969,12,23
-2.4,1970,01,22
-1.4,1970,02,21
-0.3,1970,03,23
5.4,1970,04,21
9.3,1970,05,21
25.0,1970,06,19
16.0,1970,07,18
16.2,1970,08,17
16.4,1970,09,15
7.6,1970,10,14
5.1,1970,11,13
4.5,1970,12,12
2.7,1971,01,11
3.8,1971,02,10
-1.3,1971,03,12
7.5,1971,04,10
18.8,1971,05,10
12.7,1971,06,09
24.9,1971,07,08
20.5,1971,08,06
11.5,1971,09,05
7.7,1971,10,04
11.3,1971,11,02
3.0,1971,12,02
-2.2,1971,12,31
-2.7,1972,01,30
0.0,1972,02,29
1.4,1972,03,29
5.7,1972,04,28
12.4,1972,05,28
21.2,1972,06,26
18.2,1972,07,26
14.7,1972,08,24
10.2,1972,09,23
3.6,1972,10,22
5.9,1972,11,21
2.1,1972,12,20
-0.3,1973,01,18
0.5,1973,02,17
4.3,1973,03,19
6.5,1973,04,17
11.0,1973,05,17
12.5,1973,06,15
20.4,1973,07,15
22.9,1973,08,14
13.6,1973,09,12
1.7,1973,10,12
5.8,1973,11,10
-0.7,1973,12,10
-1.6,1974,01,08
0.3,1974,02,07
0.1,1974,03,08
14.6,1974,04,06
8.7,1974,05,06
12.9,1974,06,04
12.3,1974,07,04
17.2,1974,08,03
17.0,1974,09,01
8.1,1974,10,01
4.6,1974,10,31
-0.4,1974,11,29
4.6,1974,12,29
3.6,1975,01,27
0.5,1975,02,26
1.4,1975,03,27
8.0,1975,04,25
12.6,1975,05,25
24.0,1975,06,23
20.8,1975,07,23
22.2,1975,08,21
15.3,1975,09,20
6.9,1975,10,20
4.8,1975,11,18
-1.0,1975,12,18
-3.0,1976,01,17
-4.9,1976,02,15
-2.0,1976,03,16
7.8,1976,04,14
11.2,1976,05,13
13.9,1976,06,12
21.8,1976,07,11
20.3,1976,08,10
14.5,1976,09,08
11.2,1976,10,08
10.9,1976,11,07
3.2,1976,12,06
-1.9,1977,01,05
3.0,1977,02,04
4.6,1977,03,05
4.9,1977,04,04
12.8,1977,05,03
14.3,1977,06,01
14.0,1977,07,01
20.0,1977,07,30
15.1,1977,08,28
8.0,1977,09,27
10.0,1977,10,27
1.9,1977,11,25
3.0,1977,12,25
0.8,1978,01,24
-1.9,1978,02,23
2.6,1978,03,24
10.0,1978,04,23
16.3,1978,05,22
16.2,1978,06,20
13.9,1978,07,20
17.5,1978,08,18
13.1,1978,09,16
10.0,1978,10,16
10.0,1978,11,14
2.0,1978,12,14
-1.4,1979,01,13
-3.0,1979,02,12
0.5,1979,03,13
10.8,1979,04,12
12.0,1979,05,12
14.0,1979,06,10
15.0,1979,07,09
20.2,1979,08,08
16.4,1979,09,06
6.2,1979,10,05
7.6,1979,11,04
6.1,1979,12,03
-3.7,1980,01,02
-6.7,1980,02,01
2.7,1980,03,01
3.6,1980,03,31
10.8,1980,04,30
12.3,1980,05,29
13.0,1980,06,28
21.0,1980,07,27
12.7,1980,08,26
13.0,1980,09,24
8.6,1980,10,23
9.1,1980,11,22
2.0,1980,12,21
-6.8,1981,01,20
-0.4,1981,02,18
5.8,1981,03,20
4.3,1981,04,19
17.4,1981,05,19
14.8,1981,06,17
15.9,1981,07,17
17.8,1981,08,15
12.7,1981,09,14
7.0,1981,10,13
8.0,1981,11,11
-2.0,1981,12,11
-12.4,1982,01,09
0.2,1982,02,08
1.6,1982,03,09
0.6,1982,04,08
7.5,1982,05,08
16.9,1982,06,06
14.6,1982,07,06
25.2,1982,08,05
14.4,1982,09,03
12.4,1982,10,03
10.2,1982,11,01
2.9,1982,12,01
2.5,1982,12,30
5.0,1983,01,28
0.6,1983,02,27
3.3,1983,03,28
7.3,1983,04,27
12.4,1983,05,26
17.8,1983,06,25
20.2,1983,07,25
21.6,1983,08,23
11.9,1983,09,22
5.4,1983,10,21
5.4,1983,11,20
3.7,1983,12,20
0.4,1984,01,18
-3.1,1984,02,17
-0.5,1984,03,17
14.3,1984,04,15
11.0,1984,05,15
14.7,1984,06,13
19.0,1984,07,13
19.8,1984,08,11
11.3,1984,09,10
11.7,1984,10,10
7.8,1984,11,08
4.6,1984,12,08
-9.4,1985,01,07
-0.7,1985,02,05
0.8,1985,03,07
2.8,1985,04,05
6.0,1985,05,04
21.6,1985,06,03
18.2,1985,07,02
18.5,1985,07,31
18.5,1985,08,30
10.4,1985,09,29
7.9,1985,10,28
-1.6,1985,11,27
-3.4,1985,12,27
-1.2,1986,01,26
-7.0,1986,02,24
4.5,1986,03,26
5.1,1986,04,24
11.8,1986,05,23
20.6,1986,06,22
18.3,1986,07,21
15.8,1986,08,19
9.6,1986,09,18
6.4,1986,10,17
6.8,1986,11,16
3.2,1986,12,16
-3.4,1987,01,15
1.7,1987,02,13
-1.7,1987,03,15
7.0,1987,04,14
7.7,1987,05,13
17.3,1987,06,11
13.0,1987,07,11
15.6,1987,08,09
11.6,1987,09,07
10.4,1987,10,07
6.3,1987,11,05
0.8,1987,12,05
4.3,1988,01,04
5.5,1988,02,02
0.9,1988,03,03
5.1,1988,04,02
14.1,1988,05,02
14.3,1988,05,31
22.3,1988,06,29
18.7,1988,07,29
16.7,1988,08,27
12.3,1988,09,25
0.2,1988,10,25
-0.2,1988,11,23
6.1,1988,12,23
1.8,1989,01,21
3.7,1989,02,20
7.7,1989,03,22
9.2,1989,04,21
19.3,1989,05,20
23.3,1989,06,19
16.2,1989,07,18
20.4,1989,08,17
12.0,1989,09,15
9.3,1989,10,14
7.6,1989,11,13
1.6,1989,12,12
7.0,1990,01,11
5.2,1990,02,09
7.9,1990,03,11
6.0,1990,04,10
22.3,1990,05,09
14.0,1990,06,08
16.2,1990,07,08
19.1,1990,08,06
13.6,1990,09,05
10.4,1990,10,04
7.2,1990,11,02
4.2,1990,12,02
3.1,1990,12,31
-2.8,1991,01,30
0.6,1991,02,28
5.4,1991,03,30
7.5,1991,04,28
15.5,1991,05,28
15.5,1991,06,27
19.9,1991,07,26
17.0,1991,08,25
14.3,1991,09,24
2.6,1991,10,23
1.6,1991,11,21
2.2,1991,12,21
0.3,1992,01,19
-0.7,1992,02,18
4.8,1992,03,18
3.6,1992,04,17
12.4,1992,05,16
15.6,1992,06,15
17.0,1992,07,14
15.0,1992,08,13
14.4,1992,09,12
3.8,1992,10,11
6.6,1992,11,10
4.2,1992,12,10
2.6,1993,01,08
1.0,1993,02,07
0.7,1993,03,08
6.4,1993,04,06
11.0,1993,05,06
18.9,1993,06,04
18.2,1993,07,04
17.0,1993,08,02
15.3,1993,09,01
8.2,1993,09,30
1.8,1993,10,30
-0.5,1993,11,29
0.8,1993,12,29
1.6,1994,01,27
-1.5,1994,02,26
5.6,1994,03,27
16.1,1994,04,25
15.3,1994,05,25
14.1,1994,06,23
22.7,1994,07,22
16.1,1994,08,21
12.2,1994,09,19
4.6,1994,10,19
0.9,1994,11,18
2.9,1994,12,18
2.6,1995,01,16
5.7,1995,02,15
4.8,1995,03,17
6.2,1995,04,15
5.9,1995,05,14
13.2,1995,06,13
23.2,1995,07,12
23.0,1995,08,10
15.0,1995,09,09
15.2,1995,10,08
-0.3,1995,11,07
-0.2,1995,12,07
-0.8,1996,01,05
-1.2,1996,02,04
-0.4,1996,03,05
3.9,1996,04,04
14.6,1996,05,03
13.3,1996,06,01
14.2,1996,07,01
16.8,1996,07,30
19.2,1996,08,28
12.0,1996,09,27
8.0,1996,10,26
2.0,1996,11,25
-0.7,1996,12,24
3.2,1997,01,23
5.8,1997,02,22
0.8,1997,03,24
4.0,1997,04,22
8.5,1997,05,22
16.2,1997,06,20
22.6,1997,07,20
19.5,1997,08,18
13.8,1997,09,16
2.6,1997,10,16
5.6,1997,11,14
2.4,1997,12,14
4.4,1998,01,12
5.6,1998,02,11
5.1,1998,03,13
6.9,1998,04,12
19.0,1998,05,11
14.8,1998,06,10
15.3,1998,07,09
13.1,1998,08,08
14.2,1998,09,06
8.6,1998,10,05
3.0,1998,11,04
-2.8,1998,12,03
1.6,1999,01,02
1.4,1999,01,31
3.1,1999,03,02
12.0,1999,04,01
11.1,1999,04,30
13.0,1999,05,30
15.7,1999,06,28
20.4,1999,07,28
19.1,1999,08,27
16.0,1999,09,25
9.8,1999,10,24
1.3,1999,11,23
-0.1,1999,12,22
-5.4,2000,01,21
1.4,2000,02,19
6.2,2000,03,20
11.7,2000,04,18
13.5,2000,05,18
18.5,2000,06,17
19.7,2000,07,16
20.8,2000,08,15
12.6,2000,09,13
10.8,2000,10,13
7.4,2000,11,11
10.0,2000,12,11
3.8,2001,01,09
5.9,2001,02,08
4.8,2001,03,09
7.4,2001,04,08
11.6,2001,05,07
16.2,2001,06,06
24.0,2001,07,05
18.7,2001,08,04
15.7,2001,09,02
12.2,2001,10,02
7.5,2001,11,01
3.5,2001,11,30
-8.3,2001,12,30
7.8,2002,01,28
4.3,2002,02,27
5.0,2002,03,28
8.1,2002,04,27
12.0,2002,05,26
19.2,2002,06,24
16.0,2002,07,24
20.6,2002,08,23
12.4,2002,09,21
5.5,2002,10,21
0.5,2002,11,20
0.2,2002,12,19
4.1,2003,01,18
-1.0,2003,02,17
5.2,2003,03,18
12.3,2003,04,16
10.1,2003,05,16
18.0,2003,06,14
22.7,2003,07,13
24.9,2003,08,12
12.1,2003,09,10
11.5,2003,10,10
4.9,2003,11,09
6.3,2003,12,08
2.0,2004,01,07
6.2,2004,02,06
0.3,2004,03,07
4.7,2004,04,05
14.8,2004,05,04
18.2,2004,06,03
16.2,2004,07,02
22.1,2004,07,31
14.4,2004,08,30
11.4,2004,09,28
7.6,2004,10,28
6.0,2004,11,26
0.2,2004,12,26
-4.0,2005,01,25
0.5,2005,02,24
8.8,2005,03,25
9.0,2005,04,24
14.8,2005,05,23
17.9,2005,06,22
17.4,2005,07,21
19.1,2005,08,19
13.5,2005,09,18
6.2,2005,10,17
0.8,2005,11,16
4.6,2005,12,15
-0.8,2006,01,14
1.1,2006,02,13
1.2,2006,03,15
7.6,2006,04,13
11.8,2006,05,13
24.3,2006,06,11
21.6,2006,07,11
19.8,2006,08,09
15.3,2006,09,07
12.4,2006,10,07
7.9,2006,11,05
11.3,2006,12,05
5.8,2007,01,03
5.9,2007,02,02
1.5,2007,03,04
9.3,2007,04,02
14.2,2007,05,02
18.4,2007,06,01
15.3,2007,06,30
16.2,2007,07,30
12.2,2007,08,28
10.9,2007,09,26
8.4,2007,10,26
2.7,2007,11,24
2.5,2007,12,24
0.7,2008,01,22
5.4,2008,02,21
2.3,2008,03,21
9.5,2008,04,20
13.2,2008,05,20
18.8,2008,06,18
17.5,2008,07,18
18.0,2008,08,16
12.1,2008,09,15
10.5,2008,10,14
7.6,2008,11,13
1.6,2008,12,12
2.0,2009,01,11
0.3,2009,02,09
2.1,2009,03,11
10.8,2009,04,09
13.8,2009,05,09
11.8,2009,06,07
21.8,2009,07,07
23.4,2009,08,06
15.2,2009,09,04
10.6,2009,10,04
4.7,2009,11,02
1.3,2009,12,02
-8.1,2009,12,31
-12.7,2010,01,30
2.2,2010,02,28
7.0,2010,03,30
12.5,2010,04,28
8.3,2010,05,28
18.0,2010,06,26
22.5,2010,07,26
17.0,2010,08,24
14.5,2010,09,23
8.2,2010,10,23
3.5,2010,11,21
-16.2,2010,12,21
0.3,2011,01,19
-3.2,2011,02,18
4.5,2011,03,19
13.4,2011,04,18
12.5,2011,05,17
18.1,2011,06,15
16.5,2011,07,15
16.0,2011,08,13
15.5,2011,09,12
9.7,2011,10,12
6.0,2011,11,10
4.3,2011,12,10
2.6,2012,01,09
-6.0,2012,02,07
-0.6,2012,03,08
3.8,2012,04,06
8.3,2012,05,06
13.0,2012,06,04
19.7,2012,07,03
22.1,2012,08,02
15.9,2012,08,31
13.1,2012,09,30
4.4,2012,10,29
3.0,2012,11,28
-1.9,2012,12,28
0.6,2013,01,27
1.6,2013,02,25
-0.7,2013,03,27
10.6,2013,04,25
19.1,2013,05,25
18.0,2013,06,23
21.8,2013,07,22
17.8,2013,08,21
10.6,2013,09,19
6.9,2013,10,19
1.6,2013,11,17
2.3,2013,12,17
0.8,2014,01,16
7.5,2014,02,15
7.3,2014,03,16
8.5,2014,04,15
10.7,2014,05,14
16.4,2014,06,13
16.7,2014,07,12
18.6,2014,08,10
13.3,2014,09,09
12.5,2014,10,08
9.0,2014,11,06
1.4,2014,12,06
0.4,2015,01,05
-1.3,2015,02,04
3.4,2015,03,05
3.8,2015,04,04
14.4,2015,05,04
13.7,2015,06,02
17.9,2015,07,02
15.0,2015,07,31
16.2,2015,08,29
